explainer,/Images/Anchors,/Images/Counterfactuals,/Images/GradCamTorch,/Images/IG,/Images/LIME,/Tabular/ALE,/Tabular/Anchors,/Tabular/DeepSHAPGlobal,/Tabular/DeepSHAPLocal,/Tabular/DicePrivate,/Tabular/DicePublic,/Tabular/DisCERN,/Tabular/IREX,/Tabular/Importance,/Tabular/KernelSHAPGlobal,/Tabular/KernelSHAPLocal,/Tabular/LIME,/Tabular/NICE,/Tabular/TreeSHAPGlobal,/Tabular/TreeSHAPLocal,/Text/LIME,/Text/NLPClassifier,/Timeseries/CBRFox
/Images/Anchors,1.0,0.928225806451613,0.7710573476702511,0.728046594982079,0.9296594982078855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/Images/Counterfactuals,0.928225806451613,1.0,0.6728494623655915,0.678225806451613,0.928225806451613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/Images/GradCamTorch,0.7710573476702511,0.6728494623655915,1.0,0.7078853046594984,0.7710573476702511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/Images/IG,0.728046594982079,0.678225806451613,0.7078853046594984,1.0,0.728046594982079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/Images/LIME,0.9296594982078855,0.928225806451613,0.7710573476702511,0.728046594982079,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/Tabular/ALE,0.0,0.0,0.0,0.0,0.0,1.0,0.6043906810035843,0.742383512544803,0.5595878136200718,0.5969086021505378,0.5969086021505378,0.6076612903225809,0.7614247311827957,0.7584005376344087,0.8499103942652331,0.6671146953405018,0.6219384707287934,0.6076612903225809,0.7418234767025091,0.5590277777777779,0.0,0.0,0.0
/Tabular/Anchors,0.0,0.0,0.0,0.0,0.0,0.6043906810035843,1.0,0.4476926523297492,0.6304883512544804,0.874462365591398,0.874462365591398,0.863709677419355,0.5808691756272403,0.6787634408602152,0.5444668458781363,0.7272625448028676,0.7344552718040623,0.863709677419355,0.4471326164874552,0.6299283154121865,0.0,0.0,0.0
/Tabular/DeepSHAPGlobal,0.0,0.0,0.0,0.0,0.0,0.742383512544803,0.4476926523297492,1.0,0.7449596774193549,0.4402105734767026,0.39182347670250905,0.3326836917562725,0.7911066308243728,0.641465053763441,0.7495519713261649,0.5667562724014338,0.5251642771804063,0.42945788530465956,0.7712595828355238,0.5884638839107925,0.0,0.0,0.0
/Tabular/DeepSHAPLocal,0.0,0.0,0.0,0.0,0.0,0.5595878136200718,0.6304883512544804,0.7449596774193549,1.0,0.6230062724014338,0.5746191756272402,0.5154793906810037,0.6083109318996417,0.67372311827957,0.5667562724014338,0.7495519713261649,0.7079599761051375,0.6122535842293908,0.5884638839107925,0.7712595828355238,0.0,0.0,0.0
/Tabular/DicePrivate,0.0,0.0,0.0,0.0,0.0,0.5969086021505378,0.874462365591398,0.4402105734767026,0.6230062724014338,1.0,0.9045698924731184,0.8346774193548389,0.5733870967741936,0.6691308243727601,0.5369847670250897,0.7197804659498209,0.7391203703703705,0.9314516129032259,0.3428763440860216,0.5256720430107528,0.0,0.0,0.0
